Title,Address,Ref No,Received Date,Validated Date,Status
Certificate of lawfulness (Proposed) for the erection of 1no. dwelling and double garage.,Plot 10 Ilett Crescent Tadpole Garden Village Swindon SN25 2WG,S/LDP/21/1982,Mon 20 Dec 2021,Thu 20 Jan 2022,Registered
Certificate of lawfulness (Proposed) for the erection of 1no. dwelling and double garage.,Plot 5 Ilett Crescent Tadpole Garden Village Swindon SN25 2WG,S/LDP/21/1983,Mon 20 Dec 2021,Fri 21 Jan 2022,Registered
"Discharge of conditions 3 (slab levels), 4 (external facing materials), 11 (surface water), 12 (trees/ hedges) and 13 (hard & soft landscaping scheme) from previous permission S/20/1322.",Grove House Front Lane Blunsdon Swindon SN26 7BJ,S/COND/21/1976,Mon 20 Dec 2021,Mon 10 Jan 2022,Registered
Erection of a replacement detached garage to rear.,54 Cumberland Road Old Walcot Swindon SN3 1AB,S/HOU/21/1974,Mon 20 Dec 2021,Thu 20 Jan 2022,Registered
Erection of single storey front and side extensions and widening of vehicular access.,57 Northern Road Rodbourne Cheney Swindon SN2 1PD,S/HOU/21/1946,Tue 14 Dec 2021,Wed 12 Jan 2022,Registered
Erection of a single storey side extension.,17 Plattes Close Shaw Swindon SN5 5SA,S/HOU/21/1960,Tue 14 Dec 2021,Wed 19 Jan 2022,Registered
Erection of a dormer window to rear.,22 Trevelyan Road Swindon SN3 1FW,S/HOU/21/1926,Sun 12 Dec 2021,Wed 19 Jan 2022,Registered
Change of use of public open space to domestic garden.,Land Adjacent To 7 Norwood Close Liden Swindon SN3 6JS,S/21/1917,Wed 08 Dec 2021,Tue 11 Jan 2022,Registered
Erection of a two/ single storey rear extension.,18 Bouverie Avenue Lakeside Swindon SN3 1PZ,S/HOU/21/1896,Tue 07 Dec 2021,Fri 14 Jan 2022,Registered
"Change of use from general industrial/ storage/ distribution (use classes B1/B8) to 12no. business/ retail/ storage units, including vehicle storage and PDI (Sui-Generis) and associated works.",Unit 103 Warehouse Unit E Cheney Manor Industrial Estate Cheney Manor Swindon SN2 2PW,S/21/1880,Wed 01 Dec 2021,Wed 12 Jan 2022,Registered
Erection of a single storey rear extension.,10 Westrop Highworth Swindon SN6 7HJ,S/HOU/21/1847,Thu 25 Nov 2021,Wed 12 Jan 2022,Registered
Erection of 2no. bungalows.,26 Hyde Road Upper Stratton Swindon SN2 7SB,S/21/1689,Thu 21 Oct 2021,Thu 27 Jan 2022,Registered
